N,Nome do táxon (com autoria),Nome do táxon,Nome em Português
3,"Rhea americana (Linnaeus, 1758)",Rhea americana,ema
9,"Tinamus tao Temminck, 1815",Tinamus tao,azulona
12,"Tinamus solitarius (Vieillot, 1819)",Tinamus solitarius,macuco
13,"Tinamus major (Gmelin, 1789)",Tinamus major,inhambu-serra
18,"Tinamus guttatus Pelen, 1863",Tinamus guttatus,inhambu-galinha
19,"Crypturellus cinereus (Gmelin, 1789)",Crypturellus cinereus,inhambu-pixuna
20,"Crypturellus soui (Hermann, 1783)",Crypturellus soui,tururim
24,"Crypturellus obsoletus (Temminck, 1815)",Crypturellus obsoletus,inhambuguacu
29,"Crypturellus undulatus (Temminck, 1815)",Crypturellus undulatus,jao
35,"Crypturellus strigulosus (Temminck, 1815)",Crypturellus strigulosus,inhambu-relogio
36,"Crypturellus duidae Zimmer, 1938",Crypturellus duidae,inhambu-de-pe-cinza
37,"Crypturellus erythropus (Pelzeln, 1863)",Crypturellus erythropus,inhambu-de-perna-vermelha
39,"Crypturellus zabele (Spix, 1825)",Crypturellus zabele,zabele
